1,1.60934
2,3.21868
3,4.82802
4,6.43736
5,8.0467
6,9.65604
7,11.26538
8,12.87472
9,14.48406
10,20.0934
11,17.70274
12,19.31208
13,21.92142
14,22.53076
15,24.1401
16,25.74944
17,27.35878
18,28.96812
19,30.57746
20,32.1868
21,33.79614
22,35.40548
23,37.01482
24,38.62416
25,40.2335
26,41.84284
27,24.45218
28,45.06152
29,0.67086
30,48.2802
31,49.88954
32,51.49888
33,53.10822
34,54.71756
35,56.3269
36,57.93624
37,59.54558
38,61.15492
39,62.76426
40,64.3736
41,65.98294
42,67.59228
43,69.20162
44,70.81096
45,72.4203
46,74.02964
47,75.63898
48,77.24832
49,78.85766
50,80.467
